#ID;S1;S2;S3;S4
n__root|n__cellular_organisms|d__Bacteria_2|p__Chloroflexi|c__Dehalococcoidia|g__Dehalogenimonas|n__Dehalogenimonas_lykanthroporepellens_BL-DC-9;1981;1210;1094;1641
n__root|n__cellular_organisms|d__Bacteria_2|s__bacterium_L21-Spi-D4;1963;620;1004;1033
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Clostridiales;1958;828;1475;2089
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophobacteraceae|n__Syntrophobacter_fumaroxidans_MPOB;1947;1077;1195;2131
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|n__unclassified_Pseudomonas;1936;925;983;2180
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|n__Desulfobacula_toluolica_Tol2;1911;1555;1258;4292
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter;1894;1057;1219;1873
n__root|n__cellular_organisms|d__Bacteria_2|f__Deferribacteraceae;1865;1130;1536;3263
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|n__Desulfobacterium_autotrophicum_HRM2;1859;1588;1231;4213
n__root|n__cellular_organisms|d__Bacteria_2|n__Bacteroidetes/Chlorobi_group|p__Bacteroidetes|o__Flavobacteriales;1853;597;1592;1592
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|f__Vibrionaceae|g__Vibrio|s__Vibrio_fluvialis;1813;551;1064;1046
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Thauera|s__Thauera_sp._MZ1T;1799;697;997;1010
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae;1794;1337;1069;2190
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales;1789;1827;1298;6195
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_beimenesis;1789;2670;1011;6411
n__root|n__cellular_organisms|d__Archaea|p__Euryarchaeota|c__Methanomicrobia;1787;1120;1167;1789
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|n__Pseudomonas_aeruginosa_group|s__Pseudomonas_aeruginosa;1771;821;978;1862
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Oceanospirillaceae;1739;301;2446;692
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella;1728;752;1336;1451
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae;1680;1011;1050;2232
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|n__Tolumonas_auensis_DSM_9187;1674;602;1040;850
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Bacilli;1659;572;1444;1970
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|s__delta_proteobacterium_28bB2T;1629;1871;1026;4664
n__root|n__cellular_organisms|d__Bacteria_2|n__Bacteroidetes/Chlorobi_group|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Draconibacterium;1612;625;1006;1489
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|n__Desulfarculus_baarsii_DSM_2075;1608;1128;1040;2515
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Providencia|s__Providencia_rettgeri;1598;1188;887;3150
n__root|n__cellular_organisms|d__Bacteria_2|c__Deinococci|f__Thermaceae|g__Thermus|n__Thermus_oshimai_JL-2;1595;622;903;959
n__root|n__cellular_organisms|d__Bacteria_2|n__Bacteroidetes/Chlorobi_group|p__Bacteroidetes|c__Bacteroidia;1584;624;1158;1555
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geobacter|s__Geobacter_sulfurreducens;1520;996;872;2384
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfobacterales;1469;1646;1399;5145
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae;1452;806;961;1499
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophaceae|n__Syntrophus_aciditrophicus_SB;1450;824;847;1593
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|s__Marinobacter_psychrophilus;1450;626;740;1548
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|n__Pseudomonas_putida_group|s__Pseudomonas_putida;1448;754;835;1929
n__root|n__cellular_organisms|d__Bacteria_2|c__Thermotogae_188708|n__Petrotogaceae|n__Petrotoga_mobilis_SJ95;1390;311;954;966
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales;1385;539;1195;2166
n__root|n__cellular_organisms|d__Bacteria_2|n__Bacteroidetes/Chlorobi_group|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales;1383;512;1229;1621
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfovibrionales|g__Desulfomicrobium|n__Desulfomicrobium_baculatum_DSM_4028;1362;912;942;1875
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter;1353;618;816;1099
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus;1336;746;398;715
n__root|n__cellular_organisms|d__Bacteria_2|c__Thermotogae_188708;1321;503;721;806
n__root|n__cellular_organisms|d__Archaea|p__Euryarchaeota;1281;704;698;981
n__root|n__cellular_organisms|d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina;1269;503;786;1071
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geobacter;1251;866;741;1745
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax_sp._NA3;1250;663;693;1164
