#ID;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae;101;324;261;102;3;14;826;2;64;12;86;159;236;98;0;15;83;1;45;17;2;1
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_sp._WHSC-8;59;160;131;88;2;0;0;0;30;25;78;149;113;79;0;0;0;0;45;29;38;81
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_simulans;105;162;420;84;5;0;24;4;95;32;126;145;376;64;0;4;0;2;70;55;3;0
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_sp._ORS_285;57;134;94;78;2;0;0;0;35;23;68;138;101;63;0;0;0;0;32;17;147;33
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_ursingii;20;204;15;3;4;0;0;0;4;64;33;137;24;8;0;0;0;1;2;65;1856;815
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_seminalis;50;188;137;67;0;0;0;0;13;14;59;137;92;40;0;0;0;0;37;22;0;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_stabilis;31;153;46;56;0;0;0;0;16;13;53;128;42;40;3;0;0;0;20;11;1;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_jeikeium;46;95;130;68;2;1;5;8;16;58;58;125;114;76;0;1;0;2;18;17;0;0
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_sp._DCY99;39;110;84;50;0;0;0;1;17;7;71;122;104;75;0;0;0;0;34;16;43;63
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_mesophilicum;70;134;85;44;0;0;0;0;22;13;63;121;102;65;0;0;0;0;31;21;9;33
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_basilensis;33;74;45;30;0;0;0;1;9;7;46;119;47;52;0;0;0;0;21;21;0;5
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_canariense;40;96;102;53;1;0;0;0;29;18;66;112;69;51;1;0;0;1;39;14;197;78
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus_1386|s__Bacillus_cereus;71;224;95;156;2;3;9;2;41;28;61;112;74;168;1;2;0;1;40;31;0;0
